Материал;Краткий текст материала;Длинный текст материала;Базовая ЕИ;Группа материалов;Вид материала;Вид класса;Класс;Формат;Имя признака;Название признака;Значение признака;ОбозначЗначПризнака;Техническая ЕИ значения признака;Материал(полный текст);Значение признака;ОбозначЗначПризнака
000000001300201262;Подшипник 53615Н ГОСТ520;Подшипник 53615Н ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 53615Н ГОСТ520;;
000000001300201262;Подшипник 53615Н ГОСТ520;Подшипник 53615Н ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 53615Н ГОСТ520;;
000000001300201265;Подшипник 13525 ГОСТ520;Подшипник 13525 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;13525;13525;;Подшипник 13525 ГОСТ520;;
000000001300201265;Подшипник 13525 ГОСТ520;Подшипник 13525 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 13525 ГОСТ520;;
000000001300201265;Подшипник 13525 ГОСТ520;Подшипник 13525 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 13525 ГОСТ520;;
000000001300201278;Подшипник 2007112 ГОСТ520;Подшипник 2007112 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;2007112;2007112;;Подшипник 2007112 ГОСТ520;;
000000001300201278;Подшипник 2007112 ГОСТ520;Подшипник 2007112 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 2007112 ГОСТ520;;
000000001300201278;Подшипник 2007112 ГОСТ520;Подшипник 2007112 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 2007112 ГОСТ520;;
000000001300201282;Подшипник 4074107 ГОСТ520;Подшипник 4074107 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;4074107;4074107;;Подшипник 4074107 ГОСТ520;;
000000001300201282;Подшипник 4074107 ГОСТ520;Подшипник 4074107 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 4074107 ГОСТ520;;
000000001300201282;Подшипник 4074107 ГОСТ520;Подшипник 4074107 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 4074107 ГОСТ520;;
000000001300201285;Подшипник 4024112 ГОСТ520;Подшипник 4024112 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;4024112;4024112;;Подшипник 4024112 ГОСТ520;;
000000001300201285;Подшипник 4024112 ГОСТ520;Подшипник 4024112 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 4024112 ГОСТ520;;
000000001300201285;Подшипник 4024112 ГОСТ520;Подшипник 4024112 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 4024112 ГОСТ520;;
000000001300201287;Подшипник 2214 ГОСТ520;Подшипник 2214 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;2214;2214;;Подшипник 2214 ГОСТ520;;
000000001300201287;Подшипник 2214 ГОСТ520;Подшипник 2214 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 2214 ГОСТ520;;
000000001300201287;Подшипник 2214 ГОСТ520;Подшипник 2214 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 2214 ГОСТ520;;
000000001300201288;Подшипник 11312 ГОСТ520;Подшипник 11312 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;11312;11312;;Подшипник 11312 ГОСТ520;;
000000001300201288;Подшипник 11312 ГОСТ520;Подшипник 11312 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 11312 ГОСТ520;;
000000001300201288;Подшипник 11312 ГОСТ520;Подшипник 11312 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 11312 ГОСТ520;;
000000001300201290;Подшипник 108 ГОСТ520;Подшипник 108 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;108;108;;Подшипник 108 ГОСТ520;;
000000001300201290;Подшипник 108 ГОСТ520;Подшипник 108 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 108 ГОСТ520;;
000000001300201290;Подшипник 108 ГОСТ520;Подшипник 108 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 108 ГОСТ520;;
000000001300201291;Подшипник 209А ГОСТ520;Подшипник 209А ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;209А;209А;;Подшипник 209А ГОСТ520;;
000000001300201291;Подшипник 209А ГОСТ520;Подшипник 209А ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 209А ГОСТ520;;
000000001300201291;Подшипник 209А ГОСТ520;Подшипник 209А ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 209А ГОСТ520;;
000000001300201292;Подшипник 1000903 ГОСТ520;Подшипник 1000903 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;1000903;1000903;;Подшипник 1000903 ГОСТ520;;
000000001300201292;Подшипник 1000903 ГОСТ520;Подшипник 1000903 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 1000903 ГОСТ520;;
000000001300201292;Подшипник 1000903 ГОСТ520;Подшипник 1000903 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 1000903 ГОСТ520;;
000000001300201299;Подшипник 46112 ГОСТ520;Подшипник 46112 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;46112;46112;;Подшипник 46112 ГОСТ520;;
000000001300201299;Подшипник 46112 ГОСТ520;Подшипник 46112 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 46112 ГОСТ520;;
000000001300201299;Подшипник 46112 ГОСТ520;Подшипник 46112 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 46112 ГОСТ520;;
000000001300201305;Подшипник 1000844 ГОСТ520;Подшипник 1000844 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;1000844;1000844;;Подшипник 1000844 ГОСТ520;;
000000001300201305;Подшипник 1000844 ГОСТ520;Подшипник 1000844 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 1000844 ГОСТ520;;
000000001300201305;Подшипник 1000844 ГОСТ520;Подшипник 1000844 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 1000844 ГОСТ520;;
000000001300201323;Подшипник 17716 ГОСТ520;Подшипник 17716 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;17716;17716;;Подшипник 17716 ГОСТ520;;
000000001300201323;Подшипник 17716 ГОСТ520;Подшипник 17716 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 17716 ГОСТ520;;
000000001300201323;Подшипник 17716 ГОСТ520;Подшипник 17716 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 17716 ГОСТ520;;
000000001300201324;Подшипник 27312 ГОСТ520;Подшипник 27312 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;27312;27312;;Подшипник 27312 ГОСТ520;;
000000001300201324;Подшипник 27312 ГОСТ520;Подшипник 27312 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 27312 ГОСТ520;;
000000001300201324;Подшипник 27312 ГОСТ520;Подшипник 27312 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 27312 ГОСТ520;;
000000001300201327;Подшипник 710 ГОСТ520;Подшипник 710 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;710;710;;Подшипник 710 ГОСТ520;;
000000001300201327;Подшипник 710 ГОСТ520;Подшипник 710 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 710 ГОСТ520;;
000000001300201327;Подшипник 710 ГОСТ520;Подшипник 710 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 710 ГОСТ520;;
000000001300201328;Подшипник 804707 ГОСТ520;Подшипник 804707 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;804707;804707;;Подшипник 804707 ГОСТ520;;
000000001300201328;Подшипник 804707 ГОСТ520;Подшипник 804707 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 804707 ГОСТ520;;
000000001300201328;Подшипник 804707 ГОСТ520;Подшипник 804707 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 804707 ГОСТ520;;
000000001300201330;Подшипник 922205 ГОСТ520;Подшипник 922205 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;922205;922205;;Подшипник 922205 ГОСТ520;;
000000001300201330;Подшипник 922205 ГОСТ520;Подшипник 922205 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 922205 ГОСТ520;;
000000001300201330;Подшипник 922205 ГОСТ520;Подшипник 922205 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 922205 ГОСТ520;;
000000001300201332;Подшипник 9588217 ГОСТ520;Подшипник 9588217 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;9588217;9588217;;Подшипник 9588217 ГОСТ520;;
000000001300201332;Подшипник 9588217 ГОСТ520;Подшипник 9588217 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 9588217 ГОСТ520;;
000000001300201332;Подшипник 9588217 ГОСТ520;Подшипник 9588217 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 9588217 ГОСТ520;;
000000001300201334;Подшипник ШСЛ70 ГОСТ520;Подшипник ШСЛ70 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;ШСЛ70;ШСЛ70;;Подшипник ШСЛ70 ГОСТ520;;
000000001300201334;Подшипник ШСЛ70 ГОСТ520;Подшипник ШСЛ70 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник ШСЛ70 ГОСТ520;;
000000001300201334;Подшипник ШСЛ70 ГОСТ520;Подшипник ШСЛ70 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник ШСЛ70 ГОСТ520;;
000000001300201335;Подшипник ШСП50 ГОСТ520;Подшипник ШСП50 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;ШСП50;ШСП50;;Подшипник ШСП50 ГОСТ520;;
000000001300201335;Подшипник ШСП50 ГОСТ520;Подшипник ШСП50 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник ШСП50 ГОСТ520;;
000000001300201335;Подшипник ШСП50 ГОСТ520;Подшипник ШСП50 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник ШСП50 ГОСТ520;;
000000001300201358;Подшипник 11218ЛК ГОСТ520;Подшипник 11218ЛК ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;11218ЛК;11218ЛК;;Подшипник 11218ЛК ГОСТ520;;
000000001300201358;Подшипник 11218ЛК ГОСТ520;Подшипник 11218ЛК ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 11218ЛК ГОСТ520;;
000000001300201358;Подшипник 11218ЛК ГОСТ520;Подшипник 11218ЛК ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 11218ЛК ГОСТ520;;
000000001300201359;Подшипник ШСП40 ГОСТ520;Подшипник ШСП40 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;ШСП40;ШСП40;;Подшипник ШСП40 ГОСТ520;;
000000001300201359;Подшипник ШСП40 ГОСТ520;Подшипник ШСП40 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник ШСП40 ГОСТ520;;
000000001300201359;Подшипник ШСП40 ГОСТ520;Подшипник ШСП40 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник ШСП40 ГОСТ520;;
000000001300201387;Подшипник 7216 ГОСТ520;Подшипник 7216 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;7216;7216;;Подшипник 7216 ГОСТ520;;
000000001300201387;Подшипник 7216 ГОСТ520;Подшипник 7216 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 7216 ГОСТ520;;
000000001300201387;Подшипник 7216 ГОСТ520;Подшипник 7216 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 7216 ГОСТ520;;
000000001300201388;Подшипник 42208 ГОСТ520;Подшипник 42208 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;42208;42208;;Подшипник 42208 ГОСТ520;;
000000001300201388;Подшипник 42208 ГОСТ520;Подшипник 42208 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 42208 ГОСТ520;;
000000001300201388;Подшипник 42208 ГОСТ520;Подшипник 42208 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 42208 ГОСТ520;;
000000001300201389;Подшипник 180201 ГОСТ520;Подшипник 180201 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;180201;180201;;Подшипник 180201 ГОСТ520;;
000000001300201389;Подшипник 180201 ГОСТ520;Подшипник 180201 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 180201 ГОСТ520;;
000000001300201389;Подшипник 180201 ГОСТ520;Подшипник 180201 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 180201 ГОСТ520;;
000000001300201390;Подшипник 180204 ГОСТ520;Подшипник 180204 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;180204;180204;;Подшипник 180204 ГОСТ520;;
000000001300201390;Подшипник 180204 ГОСТ520;Подшипник 180204 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 180204 ГОСТ520;;
000000001300201390;Подшипник 180204 ГОСТ520;Подшипник 180204 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 180204 ГОСТ520;;
000000001300201391;Подшипник 80029 ГОСТ520;Подшипник 80029 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;80029;80029;;Подшипник 80029 ГОСТ520;;
000000001300201391;Подшипник 80029 ГОСТ520;Подшипник 80029 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 80029 ГОСТ520;;
000000001300201391;Подшипник 80029 ГОСТ520;Подшипник 80029 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 80029 ГОСТ520;;
000000001300201392;Подшипник 3532 ГОСТ520;Подшипник 3532 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;3532;3532;;Подшипник 3532 ГОСТ520;;
000000001300201392;Подшипник 3532 ГОСТ520;Подшипник 3532 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 3532 ГОСТ520;;
000000001300201392;Подшипник 3532 ГОСТ520;Подшипник 3532 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 3532 ГОСТ520;;
000000001300201393;Подшипник 1000916 ГОСТ520;Подшипник 1000916 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;1000916;1000916;;Подшипник 1000916 ГОСТ520;;
000000001300201393;Подшипник 1000916 ГОСТ520;Подшипник 1000916 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 1000916 ГОСТ520;;
000000001300201393;Подшипник 1000916 ГОСТ520;Подшипник 1000916 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 1000916 ГОСТ520;;
000000001300201395;Подшипник 8218 ГОСТ520;Подшипник 8218 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;8218;8218;;Подшипник 8218 ГОСТ520;;
000000001300201395;Подшипник 8218 ГОСТ520;Подшипник 8218 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 8218 ГОСТ520;;
000000001300201395;Подшипник 8218 ГОСТ520;Подшипник 8218 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 8218 ГОСТ520;;
000000001300201396;Подшипник 6013 ГОСТ520;Подшипник 6013 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;6013;6013;;Подшипник 6013 ГОСТ520;;
000000001300201396;Подшипник 6013 ГОСТ520;Подшипник 6013 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 6013 ГОСТ520;;
000000001300201396;Подшипник 6013 ГОСТ520;Подшипник 6013 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 6013 ГОСТ520;;
000000001300201397;Подшипник 7620 ГОСТ520;Подшипник 7620 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;7620;7620;;Подшипник 7620 ГОСТ520;;
000000001300201397;Подшипник 7620 ГОСТ520;Подшипник 7620 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 7620 ГОСТ520;;
000000001300201397;Подшипник 7620 ГОСТ520;Подшипник 7620 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 7620 ГОСТ520;;
000000001300201398;Подшипник 8114 ГОСТ520;Подшипник 8114 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;8114;8114;;Подшипник 8114 ГОСТ520;;
000000001300201398;Подшипник 8114 ГОСТ520;Подшипник 8114 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 8114 ГОСТ520;;
000000001300201398;Подшипник 8114 ГОСТ520;Подшипник 8114 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 8114 ГОСТ520;;
000000001300201399;Подшипник 8115 ГОСТ520;Подшипник 8115 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;8115;8115;;Подшипник 8115 ГОСТ520;;
000000001300201399;Подшипник 8115 ГОСТ520;Подшипник 8115 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 8115 ГОСТ520;;
000000001300201399;Подшипник 8115 ГОСТ520;Подшипник 8115 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 8115 ГОСТ520;;
000000001300201400;Подшипник 8117 ГОСТ520;Подшипник 8117 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;8117;8117;;Подшипник 8117 ГОСТ520;;
000000001300201400;Подшипник 8117 ГОСТ520;Подшипник 8117 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 8117 ГОСТ520;;
000000001300201400;Подшипник 8117 ГОСТ520;Подшипник 8117 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 8117 ГОСТ520;;
000000001300201401;Подшипник 116 ГОСТ520;Подшипник 116 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;116;116;;Подшипник 116 ГОСТ520;;
000000001300201401;Подшипник 116 ГОСТ520;Подшипник 116 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 116 ГОСТ520;;
000000001300201401;Подшипник 116 ГОСТ520;Подшипник 116 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 116 ГОСТ520;;
000000001300201402;Подшипник 42506 ГОСТ520;Подшипник 42506 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;42506;42506;;Подшипник 42506 ГОСТ520;;
000000001300201402;Подшипник 42506 ГОСТ520;Подшипник 42506 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 42506 ГОСТ520;;
000000001300201402;Подшипник 42506 ГОСТ520;Подшипник 42506 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 42506 ГОСТ520;;
000000001300201403;Подшипник 209 ГОСТ520;Подшипник 209 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;209;209;;Подшипник 209 ГОСТ520;;
000000001300201403;Подшипник 209 ГОСТ520;Подшипник 209 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 209 ГОСТ520;;
000000001300201403;Подшипник 209 ГОСТ520;Подшипник 209 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 209 ГОСТ520;;
000000001300201404;Подшипник 1609 ГОСТ520;Подшипник 1609 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;1609;1609;;Подшипник 1609 ГОСТ520;;
