Материал;Краткий текст материала;Длинный текст материала;Базовая ЕИ;Группа материалов;Вид материала;Вид класса;Класс;Формат;Имя признака;Название признака;Значение признака;ОбозначЗначПризнака;Техническая ЕИ значения признака;Материал(полный текст);Значение признака;ОбозначЗначПризнака
000000001300198389;Подшипник 180508 ГОСТ520;Подшипник 180508 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 180508 ГОСТ520;;
000000001300198389;Подшипник 180508 ГОСТ520;Подшипник 180508 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 180508 ГОСТ520;;
000000001300198390;Подшипник 180603 ГОСТ520;Подшипник 180603 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;180603;180603;;Подшипник 180603 ГОСТ520;;
000000001300198390;Подшипник 180603 ГОСТ520;Подшипник 180603 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 180603 ГОСТ520;;
000000001300198390;Подшипник 180603 ГОСТ520;Подшипник 180603 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 180603 ГОСТ520;;
000000001300198391;Подшипник 180607 ГОСТ520;Подшипник 180607 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;180607;180607;;Подшипник 180607 ГОСТ520;;
000000001300198391;Подшипник 180607 ГОСТ520;Подшипник 180607 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 180607 ГОСТ520;;
000000001300198391;Подшипник 180607 ГОСТ520;Подшипник 180607 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 180607 ГОСТ520;;
000000001300198392;Подшипник 180612 ГОСТ520;Подшипник 180612 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;180612;180612;;Подшипник 180612 ГОСТ520;;
000000001300198392;Подшипник 180612 ГОСТ520;Подшипник 180612 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 180612 ГОСТ520;;
000000001300198392;Подшипник 180612 ГОСТ520;Подшипник 180612 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 180612 ГОСТ520;;
000000001300198395;Подшипник 160703 ГОСТ520;Подшипник 160703 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;160703;160703;;Подшипник 160703 ГОСТ520;;
000000001300198395;Подшипник 160703 ГОСТ520;Подшипник 160703 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 160703 ГОСТ520;;
000000001300198395;Подшипник 160703 ГОСТ520;Подшипник 160703 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 160703 ГОСТ520;;
000000001300198396;Подшипник 29 ГОСТ520;Подшипник 29 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;29;29;;Подшипник 29 ГОСТ520;;
000000001300198396;Подшипник 29 ГОСТ520;Подшипник 29 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 29 ГОСТ520;;
000000001300198396;Подшипник 29 ГОСТ520;Подшипник 29 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 29 ГОСТ520;;
000000001300198397;Подшипник 100 ГОСТ520;Подшипник 100 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;100;100;;Подшипник 100 ГОСТ520;;
000000001300198397;Подшипник 100 ГОСТ520;Подшипник 100 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 100 ГОСТ520;;
000000001300198397;Подшипник 100 ГОСТ520;Подшипник 100 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 100 ГОСТ520;;
000000001300198398;Подшипник 101 ГОСТ520;Подшипник 101 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;101;101;;Подшипник 101 ГОСТ520;;
000000001300198398;Подшипник 101 ГОСТ520;Подшипник 101 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 101 ГОСТ520;;
000000001300198398;Подшипник 101 ГОСТ520;Подшипник 101 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 101 ГОСТ520;;
000000001300198399;Подшипник 1207 ГОСТ520;Подшипник 1207 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;1207;1207;;Подшипник 1207 ГОСТ520;;
000000001300198399;Подшипник 1207 ГОСТ520;Подшипник 1207 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 1207 ГОСТ520;;
000000001300198399;Подшипник 1207 ГОСТ520;Подшипник 1207 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 1207 ГОСТ520;;
000000001300198400;Подшипник 1306 ГОСТ520;Подшипник 1306 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;1306;1306;;Подшипник 1306 ГОСТ520;;
000000001300198400;Подшипник 1306 ГОСТ520;Подшипник 1306 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 1306 ГОСТ520;;
000000001300198400;Подшипник 1306 ГОСТ520;Подшипник 1306 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 1306 ГОСТ520;;
000000001300198401;Подшипник 1310 ГОСТ520;Подшипник 1310 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;1310;1310;;Подшипник 1310 ГОСТ520;;
000000001300198401;Подшипник 1310 ГОСТ520;Подшипник 1310 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 1310 ГОСТ520;;
000000001300198401;Подшипник 1310 ГОСТ520;Подшипник 1310 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 1310 ГОСТ520;;
000000001300198402;Подшипник 1312 ГОСТ520;Подшипник 1312 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;1312;1312;;Подшипник 1312 ГОСТ520;;
000000001300198402;Подшипник 1312 ГОСТ520;Подшипник 1312 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 1312 ГОСТ520;;
000000001300198402;Подшипник 1312 ГОСТ520;Подшипник 1312 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 1312 ГОСТ520;;
000000001300198403;Подшипник 1509 ГОСТ520;Подшипник 1509 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;1509;1509;;Подшипник 1509 ГОСТ520;;
000000001300198403;Подшипник 1509 ГОСТ520;Подшипник 1509 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 1509 ГОСТ520;;
000000001300198403;Подшипник 1509 ГОСТ520;Подшипник 1509 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 1509 ГОСТ520;;
000000001300198405;Подшипник 2212 ГОСТ520;Подшипник 2212 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;2212;2212;;Подшипник 2212 ГОСТ520;;
000000001300198405;Подшипник 2212 ГОСТ520;Подшипник 2212 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 2212 ГОСТ520;;
000000001300198405;Подшипник 2212 ГОСТ520;Подшипник 2212 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 2212 ГОСТ520;;
000000001300198406;Подшипник 2226 ГОСТ520;Подшипник 2226 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;2226;2226;;Подшипник 2226 ГОСТ520;;
000000001300198406;Подшипник 2226 ГОСТ520;Подшипник 2226 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 2226 ГОСТ520;;
000000001300198406;Подшипник 2226 ГОСТ520;Подшипник 2226 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 2226 ГОСТ520;;
000000001300198407;Подшипник 2230 ГОСТ520;Подшипник 2230 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;2230;2230;;Подшипник 2230 ГОСТ520;;
000000001300198407;Подшипник 2230 ГОСТ520;Подшипник 2230 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 2230 ГОСТ520;;
000000001300198407;Подшипник 2230 ГОСТ520;Подшипник 2230 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 2230 ГОСТ520;;
000000001300198408;Подшипник 2312 ГОСТ520;Подшипник 2312 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;2312;2312;;Подшипник 2312 ГОСТ520;;
000000001300198408;Подшипник 2312 ГОСТ520;Подшипник 2312 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 2312 ГОСТ520;;
000000001300198408;Подшипник 2312 ГОСТ520;Подшипник 2312 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 2312 ГОСТ520;;
000000001300198411;Подшипник 3608 ГОСТ520;Подшипник 3608 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;3608;3608;;Подшипник 3608 ГОСТ520;;
000000001300198411;Подшипник 3608 ГОСТ520;Подшипник 3608 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 3608 ГОСТ520;;
000000001300198411;Подшипник 3608 ГОСТ520;Подшипник 3608 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 3608 ГОСТ520;;
000000001300198412;Подшипник 3634 ГОСТ520;Подшипник 3634 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;3634;3634;;Подшипник 3634 ГОСТ520;;
000000001300198412;Подшипник 3634 ГОСТ520;Подшипник 3634 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 3634 ГОСТ520;;
000000001300198412;Подшипник 3634 ГОСТ520;Подшипник 3634 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 3634 ГОСТ520;;
000000001300198413;Подшипник 6012 ГОСТ520;Подшипник 6012 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;6012;6012;;Подшипник 6012 ГОСТ520;;
000000001300198413;Подшипник 6012 ГОСТ520;Подшипник 6012 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 6012 ГОСТ520;;
000000001300198413;Подшипник 6012 ГОСТ520;Подшипник 6012 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 6012 ГОСТ520;;
000000001300198415;Подшипник 7217 ГОСТ520;Подшипник 7217 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;7217;7217;;Подшипник 7217 ГОСТ520;;
000000001300198415;Подшипник 7217 ГОСТ520;Подшипник 7217 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 7217 ГОСТ520;;
000000001300198415;Подшипник 7217 ГОСТ520;Подшипник 7217 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 7217 ГОСТ520;;
